%; Serdyuchenko et al. ozone absorption cross-section
%; temperature parameterisation
%;
%; Contact: Mark.Weber@uni-bremen.de%
%
%; formula:
%; sigma(T,lambda)=10^(-20)*a_0(lambda)*[1+a_1(lambda)*T+a_2(lambda)*T^2]
% 
%; lambda: wavelength in nm
%; T: temperature in degree Celsius
%; sigma: ozone cross section in cm^2
%; a_0, a_1, a_2: fit coefficients (quadratic polynomial)
%;
%; data format:
%; column 1: wavelength in vacuum = lambda [nm]
%; column 2: a_0
%; column 3: a_1
%; column 4: a_2
%;
%; NUMBER OF HEADER LINES: 20
 300.0000  3.821859e+001  1.101264e-003 -4.303145e-007
 300.0100  3.763823e+001  6.269123e-004 -2.071727e-006
 300.0200  3.786605e+001  1.132685e-003  4.665019e-006
 300.0300  3.801613e+001  9.853780e-004 -2.817870e-007
 300.0400  3.766067e+001  1.343630e-003  4.842735e-006
 300.0500  3.794743e+001  1.413720e-003  5.757536e-006
 300.0600  3.792686e+001  1.252137e-003  6.531762e-006
 300.0700  3.777093e+001  1.111795e-003  2.749622e-006
 300.0800  3.770185e+001  1.357648e-003  5.227754e-006
 300.0900  3.749099e+001  1.433318e-003  6.043734e-006
 300.1000  3.735024e+001  1.538109e-003  5.698093e-006
 300.1100  3.758876e+001  1.695186e-003  5.118030e-006
 300.1200  3.766171e+001  1.527638e-003  4.628016e-006
 300.1300  3.758751e+001  1.073492e-003  2.315675e-007
 300.1400  3.767834e+001  1.358728e-003  2.001013e-006
 300.1500  3.727464e+001  1.947959e-003  1.160979e-005
 300.1600  3.763303e+001  1.533592e-003  2.791746e-006
 300.1700  3.741185e+001  1.345855e-003  1.794413e-006
 300.1800  3.715904e+001  1.308541e-003  4.219087e-006
 300.1900  3.717250e+001  1.298084e-003  3.287127e-006
 300.2000  3.702366e+001  1.533267e-003  7.205438e-006
 300.2100  3.723136e+001  1.232025e-003  2.186537e-006
 300.2200  3.686413e+001  1.680313e-003  1.084850e-005
 300.2300  3.703140e+001  1.528499e-003  4.947948e-006
 300.2400  3.705177e+001  1.839398e-003  1.005388e-005
 300.2500  3.695696e+001  1.348209e-003  7.220560e-006
 300.2600  3.718312e+001  1.220851e-003  2.833971e-006
 300.2700  3.714254e+001  1.288705e-003  2.500263e-006
 300.2800  3.705336e+001  1.540140e-003  4.079711e-006
 300.2900  3.691865e+001  1.350684e-003  7.187965e-007
 300.3000  3.659815e+001  1.842876e-003  8.959054e-006
 300.3100  3.671453e+001  1.588712e-003  5.026110e-006
 300.3200  3.692549e+001  1.330874e-003 -3.191927e-007
 300.3300  3.669831e+001  1.826679e-003  9.169695e-006
 300.3400  3.670877e+001  1.672633e-003  8.471802e-006
 300.3500  3.660281e+001  1.508236e-003  4.780706e-006
 300.3600  3.644376e+001  1.249852e-003  2.463972e-006
